drug_id,target_nm
DB00709,Protein P
DB00758,P2Y purinoceptor 12
DB00369,DNA polymerase catalytic subunit
DB00254,30S ribosomal protein
DB00441,UMP-CMP kinase
DB00441,Ribonucleoside-diphosphate reductase large subunit
DB00441,Thymidylate synthase
DB00441,DNA
DB00313,Histone deacetylase
DB00313,"Succinate-semialdehyde dehydrogenase, mitochondrial"
DB00313,Histone deacetylase 2
DB00313,Peroxisome proliferator-activated receptor alpha
DB00313,Peroxisome proliferator-activated receptor delta
DB00313,Cyclin-dependent kinase inhibitor 1
DB00313,Ornithine decarboxylase
DB00313,Histone deacetylase 9
DB00313,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
DB00313,"2-oxoglutarate dehydrogenase, mitochondrial"
DB00313,Sodium channel protein
DB00313,Peroxisome proliferator-activated receptor gamma
DB00313,Hepatocyte growth factor
DB00313,Programmed cell death 1 ligand 1
DB01248,Apoptosis regulator Bcl-2
DB01248,Microtubule-associated protein 2
DB01248,Tubulin beta-1 chain
DB01248,Nuclear receptor subfamily 1 group I member 2
DB01248,Microtubule-associated protein 4
DB01248,Microtubule-associated protein tau
DB00582,Cytochrome P450 51
DB00361,Tubulin beta chain
DB00615,Endoplasmin
DB00615,DNA-directed RNA polymerase subunit beta
DB00615,DNA-directed RNA polymerase subunit beta'
DB00615,DNA-directed RNA polymerase subunit alpha
DB00615,Heat shock protein HSP 90-alpha
DB01076,Aryl hydrocarbon receptor
DB01076,Histone deacetylase 2
DB01076,3-hydroxy-3-methylglutaryl-coenzyme A reductase
DB01076,Dipeptidyl peptidase 4
DB01076,Nuclear receptor subfamily 1 group I member 3
DB00586,Prostaglandin G/H synthase 1
DB00586,Prostaglandin G/H synthase 2
DB00684,16S ribosomal RNA
DB00684,Cytoplasmic membrane
DB00684,Bacterial outer membrane
DB00684,23S ribosomal RNA
DB00864,Peptidyl-prolyl cis-trans isomerase FKBP1A
DB00552,Adenosine deaminase
DB06817,Integrase
DB01264,Human immunodeficiency virus type 1 protease
DB01006,Cytochrome P450 19A1
DB04835,C-C chemokine receptor type 5
DB00252,Sodium channel protein type 5 subunit alpha
DB00252,Sodium channel protein type 3 subunit alpha
DB00252,Voltage-dependent L-type calcium channel
DB00252,Sodium channel protein type 8 subunit alpha
DB00252,Potassium voltage-gated channel subfamily H member 2
DB00252,Sodium channel protein type 1 subunit alpha
DB00252,Nuclear receptor subfamily 1 group I member 2
DB00252,Sodium channel subunit beta-1
DB00252,Sodium channel protein type 2 subunit alpha
DB00252,GABA(A) Receptor
DB01155,DNA topoisomerase 4 subunit A
DB01155,DNA gyrase subunit A
DB06772,Tubulin beta-1 chain
DB08864,Reverse transcriptase/RNaseH
DB08864,Nuclear receptor subfamily 1 group I member 2
DB00482,Prostaglandin G/H synthase 2
DB00482,3-phosphoinositide-dependent protein kinase 1
DB00482,Carbonic anhydrase 2
DB00482,Cadherin-11
DB00482,Carbonic anhydrase 3
DB00482,Sialidase-1
DB00512,D-Ala-D-Ala moiety of NAM/NAG peptide subunits of peptidoglycan
DB04855,Alpha-2A adrenergic receptor
DB04855,Alpha-2B adrenergic receptor
DB04855,Voltage-dependent L-type calcium channel subunit alpha-1D
DB04855,Voltage-dependent L-type calcium channel subunit beta-3
DB04855,Inward rectifier potassium channel
DB04855,Potassium voltage-gated channel subfamily D member 3
DB04855,Beta-1 adrenergic receptor
DB04855,Voltage-dependent L-type calcium channel subunit alpha-1F
DB04855,Voltage-dependent L-type calcium channel subunit alpha-1S
DB04855,Voltage-dependent L-type calcium channel subunit beta-2
DB04855,Voltage-dependent L-type calcium channel subunit beta-4
DB04855,Potassium channel subfamily K member 2
DB04855,Sodium channel protein type 5 subunit alpha
DB04855,Alpha-1A adrenergic receptor
DB04855,Alpha-1B adrenergic receptor
DB04855,Alpha-1D adrenergic receptor
DB04855,Alpha-2C adrenergic receptor
DB04855,Potassium voltage-gated channel subfamily H member 2
DB04855,Voltage-dependent L-type calcium channel subunit alpha-1C
DB04855,Voltage-dependent L-type calcium channel subunit beta-1
DB04855,Thyroid hormone receptor alpha
DB04855,G protein-activated inward rectifier potassium channel 1
DB04855,Potassium voltage-gated channel subfamily KQT member 1
DB04855,Sodium/calcium exchanger 1
DB06813,Thymidylate synthase
DB06813,Dihydrofolate reductase
DB06813,"Folylpolyglutamate synthase, mitochondrial"
DB01268,Vascular endothelial growth factor receptor 2
DB01268,Receptor-type tyrosine-protein kinase FLT3
DB01268,Platelet-derived growth factor receptor beta
DB01268,Mast/stem cell growth factor receptor Kit
DB01268,Hepatocyte growth factor receptor
DB01268,Vascular endothelial growth factor receptor 1
DB01268,Vascular endothelial growth factor receptor 3
DB01268,Macrophage colony-stimulating factor 1 receptor
DB01268,Platelet-derived growth factor receptor alpha
DB00975,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A"
DB00975,"cGMP-specific 3',5'-cyclic phosphodiesterase"
DB00975,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
DB00975,Adenosine deaminase
DB00975,Calcipressin-1
DB00975,Alpha-1-acid glycoprotein 1
DB00250,Inactive dihydropteroate synthase 2
DB00250,Dihydropteroate synthase 1
DB06201,Sodium channel protein type 9 subunit alpha
DB06201,Metabotropic glutamate receptor 5
DB01254,Tyrosine-protein kinase ABL1
DB01254,Platelet-derived growth factor receptor beta
DB01254,Ephrin type-A receptor 2
DB01254,Breakpoint cluster region protein
DB01254,Tyrosine-protein kinase CSK
DB01254,Heat shock cognate 71 kDa protein
DB01254,Mitogen-activated protein kinase 14
DB01254,Tyrosine-protein kinase Lck
DB01254,Tyrosine-protein kinase Yes
DB01254,Mast/stem cell growth factor receptor Kit
DB01254,Tyrosine-protein kinase BTK
DB01254,Ephrin type-A receptor 5
DB01254,Tyrosine-protein kinase Fgr
DB01254,Mitogen-activated protein kinase kinase kinase MLT
DB01254,Tyrosine-protein kinase ABL2
DB01254,Proto-oncogene tyrosine-protein kinase Src
DB01254,Tyrosine-protein kinase Fyn
DB01254,Signal transducer and activator of transcription 5B
DB01254,Nuclear receptor subfamily 4 group A member 3
DB01254,Ephrin type-B receptor 4
DB01254,Tyrosine-protein kinase FRK
DB01254,Tyrosine-protein kinase Lyn
DB01254,Amidophosphoribosyltransferase
DB00665,Androgen receptor
DB01211,Potassium voltage-gated channel subfamily H member 2
DB01211,50S ribosomal protein L10
DB01211,Solute carrier organic anion transporter family member 1B1
DB01211,Solute carrier organic anion transporter family member 1B3
DB00442,DNA
DB00775,Integrin alpha-IIb
DB00775,Integrin beta-3
DB08860,3-hydroxy-3-methylglutaryl-coenzyme A reductase
DB08860,Integrin alpha-L
DB00671,Penicillin-binding protein 2
DB00671,Penicillin-binding protein
DB00526,DNA
DB00218,DNA topoisomerase 2-alpha
DB00218,DNA topoisomerase 4 subunit A
DB00218,DNA gyrase subunit A
DB00218,Serum paraoxonase/arylesterase 1
DB00853,DNA
DB01167,Lanosterol 14-alpha demethylase
DB00906,Sodium- and chloride-dependent GABA transporter 1
DB01017,30S ribosomal protein S4
DB01017,30S ribosomal protein S9
DB01017,"Nitric oxide synthase, inducible"
DB01017,16S ribosomal RNA
DB01017,Interleukin-1 beta
DB01017,Arachidonate 5-lipoxygenase
DB01017,Matrix metalloproteinase-9
DB01017,Vascular endothelial growth factor A
DB01017,Caspase-1
DB01017,Caspase-3
DB01017,Cytochrome c
DB01017,Mitogen-activated Protein Kinases
DB00773,DNA topoisomerase 2-beta
DB00773,DNA topoisomerase 2-alpha
DB01610,DNA
DB06209,P2Y purinoceptor 12
DB00879,Reverse transcriptase/RNaseH
DB00204,Potassium channel subfamily K member 2
DB00204,Potassium voltage-gated channel subfamily H member 2
DB00204,ATP-sensitive inward rectifier potassium channel 12
DB01590,Serine/threonine-protein kinase mTOR
DB06287,Serine/threonine-protein kinase mTOR
DB00560,30S ribosomal protein S19
DB00560,30S ribosomal protein S9
DB00560,30S ribosomal protein S13
DB00560,16S ribosomal RNA
DB00560,30S ribosomal protein S14
DB00560,30S ribosomal protein S12
DB01072,Human immunodeficiency virus type 1 protease
DB01413,Penicillin-binding protein 2
DB01413,Penicillin-binding protein 1A
DB01413,Penicillin-binding protein 2
DB01413,Peptidoglycan synthase FtsI
DB01413,Penicillin-binding protein 3
DB01413,Penicillin-binding protein 1B
DB01413,Penicillin-binding protein 1B
DB01008,DNA
DB01048,Reverse transcriptase/RNaseH
DB00539,Estrogen receptor alpha
DB00539,Sex hormone-binding globulin
DB00207,23S ribosomal RNA
DB00207,Protein-arginine deiminase type-4
DB00631,DNA
DB00631,DNA polymerase alpha catalytic subunit
DB00631,Ribonucleoside-diphosphate reductase large subunit
DB00619,Mast/stem cell growth factor receptor Kit
DB00619,Platelet-derived growth factor receptor alpha
DB00619,Epithelial discoidin domain-containing receptor 1
DB00619,Platelet-derived growth factor receptor beta
DB00619,Proto-oncogene tyrosine-protein kinase receptor Ret
DB00619,Macrophage colony-stimulating factor 1 receptor
DB00619,Breakpoint cluster region protein
DB00619,Tyrosine-protein kinase ABL1
DB00619,High affinity nerve growth factor receptor
DB00619,Discoidin domain-containing receptor 2
DB01137,DNA gyrase subunit A
DB01137,DNA topoisomerase 4 subunit A
DB01042,DNA
DB01004,DNA polymerase catalytic subunit
DB01004,Thymidine kinase
DB01004,DNA
DB05812,"Steroid 17-alpha-hydroxylase/17,20 lyase"
DB08889,Proteasome subunit beta type-2
DB08889,Proteasome subunit beta type-5
DB08889,Proteasome subunit beta type-8
DB08889,Proteasome subunit beta type-9
DB08889,Proteasome subunit beta type-10
DB08889,Proteasome subunit beta type-1
DB00374,Prostaglandin E2 receptor EP2 subtype
DB00374,Peroxisome proliferator-activated receptor delta
DB00374,P2Y purinoceptor 12
DB00374,Prostacyclin receptor
DB00374,Prostaglandin D2 receptor
DB01319,Human immunodeficiency virus type 1 protease
DB00887,Solute carrier family 12 member 5
DB00887,Solute carrier family 12 member 1
DB00887,Cystic fibrosis transmembrane conductance regulator
DB00887,Solute carrier family 12 member 2
DB00887,Solute carrier family 12 member 4
DB00317,Epidermal growth factor receptor
DB00993,Ras-related C3 botulinum toxin substrate 1
DB08816,P2Y purinoceptor 12
DB00990,Cytochrome P450 19A1
DB00530,Nuclear receptor subfamily 1 group I member 2
DB00530,Epidermal growth factor receptor
DB01202,Synaptic vesicle glycoprotein 2A
DB01202,Voltage-dependent N-type calcium channel subunit alpha-1B
DB00339,Fatty acid synthetase
DB00531,DNA
DB00531,Nuclear receptor subfamily 1 group I member 2
DB01098,3-hydroxy-3-methylglutaryl-coenzyme A reductase
DB01098,Integrin alpha-L
DB05676,Phosphodiesterase isozyme 4
DB01195,Sodium channel protein type 4 subunit alpha
DB01195,Sodium channel protein type 5 subunit alpha
DB01195,Potassium voltage-gated channel subfamily H member 2
DB01195,Ryanodine receptor 2
DB01259,Epidermal growth factor receptor
DB01259,Receptor tyrosine-protein kinase erbB-2
DB14575,P2X purinoceptor 4
DB00828,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
DB08895,Tyrosine-protein kinase JAK2
DB08895,Non-receptor tyrosine-protein kinase TYK2
DB08895,Tyrosine-protein kinase JAK1
DB08895,Tyrosine-protein kinase JAK3
DB00188,Proteasome subunit beta type-5
DB00188,Proteasome subunit beta type-1
DB00198,Sialidase-1
DB00198,Neuraminidase
DB00198,Sialidase-2
DB00214,Solute carrier family 12 member 1
DB00214,Solute carrier family 12 member 2
DB00220,HIV-1 protease
DB00224,Human immunodeficiency virus type 1 protease
DB00230,Voltage-dependent calcium channel subunit alpha-2/delta-1
DB00256,30S ribosomal protein S4
DB00276,Alpha-1-acid glycoprotein 1
DB00276,DNA topoisomerase 2-alpha
DB00276,DNA
DB00276,Potassium voltage-gated channel subfamily H member 2
DB00276,Serum albumin
DB00291,DNA
DB00293,Thymidylate synthase
DB00293,"Folylpolyglutamate synthase, mitochondrial"
DB00299,Thymidine kinase
DB00299,DNA polymerase catalytic subunit
DB00301,Penicillin-binding protein 1A
DB00303,Penicillin-binding protein 2
DB00303,Peptidoglycan synthase FtsI
DB00303,D-alanyl-D-alanine carboxypeptidase DacB
DB00303,Penicillin-binding protein 1B
DB00303,Peptidoglycan synthase FtsI
DB00303,Penicillin-binding protein 1A
DB00303,D-alanyl-D-alanine carboxypeptidase DacC
DB00303,Penicillin-binding protein 2
DB00305,DNA
DB00319,Penicillin-binding protein 3
DB00319,Penicillin-binding protein 1b
DB00319,Penicillin-binding protein 2B
DB00319,Penicillin-binding protein 2a
DB00362,"1,3-beta-glucan synthase component FKS1"
DB00398,Receptor-type tyrosine-protein kinase FLT3
DB00398,RAF proto-oncogene serine/threonine-protein kinase
DB00398,Vascular endothelial growth factor receptor 3
