drug_id,target_nm
DB00555,Dopamine D2 receptor
DB00555,GABA(A) Receptor Benzodiazepine Binding Site
DB00555,Glutamate receptor 1
DB00555,Voltage-gated sodium channel alpha subunit
DB00555,Beta-1 adrenergic receptor
DB00555,D(1) dopamine receptor
DB00555,GABA(A) Receptor
DB00555,Acetylcholine receptor subunit alpha
DB00555,5-hydroxytryptamine receptor 2A
DB00563,Dihydrofolate reductase
DB00563,Thymidylate synthase
DB00563,Bifunctional purine biosynthesis protein PURH
DB00814,Prostaglandin G/H synthase 2
DB00814,Prostaglandin G/H synthase 1
DB01128,Androgen receptor
DB01181,DNA
DB01181,Nuclear receptor subfamily 1 group I member 2
DB01166,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
DB00273,Carbonic anhydrase 4
DB00273,Carbonic anhydrase 1
DB00273,Voltage-dependent R-type calcium channel
DB00273,Carbonic anhydrase 2
DB00273,Kainate receptors
DB00273,Carbonic anhydrase 3
DB00273,Gamma-aminobutyric acid receptor subunit alpha-1
DB00273,Voltage-gated sodium channel alpha subunit
DB00273,Voltage gated L-type calcium channel
DB00503,Human immunodeficiency virus type 1 protease
DB00503,Nuclear receptor subfamily 1 group I member 2
DB00308,Voltage-dependent calcium channel subunit alpha-2/delta-1
DB00308,Potassium voltage-gated channel subfamily H member 6
DB00308,Voltage-dependent L-type calcium channel subunit beta-1
DB00308,Voltage-dependent calcium channel gamma-1 subunit
DB00308,Potassium voltage-gated channel subfamily H member 2
DB00308,Voltage-dependent L-type calcium channel subunit alpha-1C
DB00308,Potassium channel subfamily K member 1
DB00308,Potassium channel subfamily K member 6
DB00308,ATP-sensitive inward rectifier potassium channel 11
DB00308,Potassium voltage-gated channel subfamily H member 7
DB00544,Thymidylate synthase
DB00544,RNA
DB00544,DNA
DB00175,3-hydroxy-3-methylglutaryl-coenzyme A reductase
DB00175,Histone deacetylase 2
DB01217,Cytochrome P450 19A1
DB01030,DNA topoisomerase 1
DB01030,DNA
DB01030,"DNA topoisomerase I, mitochondrial"
DB00762,"DNA topoisomerase I, mitochondrial"
DB00762,DNA topoisomerase 1
DB00426,DNA polymerase catalytic subunit
DB00355,Beta-lactamase
DB00355,Penicillin-binding protein 3
DB00355,Beta-lactamase Toho-1
DB00641,3-hydroxy-3-methylglutaryl-coenzyme A reductase
DB00641,Histone deacetylase 2
DB00641,Integrin alpha-L
DB00788,Peptostreptococcal albumin-binding protein
DB00788,Prostaglandin G/H synthase 1
DB00788,Prostaglandin G/H synthase 2
DB00760,D-alanyl-D-alanine carboxypeptidase DacB
DB01330,Penicillin-binding protein 3
DB00949,"Glutamate receptor ionotropic, NMDA 2B"
DB00949,"Glutamate receptor ionotropic, NMDA 2A"
DB00461,Prostaglandin G/H synthase 1
DB00461,Prostaglandin G/H synthase 2
DB00911,DNA
DB00709,DNA
DB00709,Reverse transcriptase/RNaseH
